year,event_code,bib,name,finished,dnf_type,cp_id,cp_name,cp_type,arrival_time,split_label,split_secs,elapsed_str,dwell_secs
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101421,Start HK Trail,control,2021-02-13 18:34:19,00:29:34,1774,36:08:19,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101422,End HK Trail,control,2021-02-14 06:04:38,11:30:19,41419,47:38:38,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101424,Start Lantau Trail,control,2021-02-14 23:43:51,17:39:13,63553,65:17:51,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101425,Finish,finish,2021-02-14 23:49:16,00:05:25,325,65:23:16,
2021,21hk4tuc,10,Will Hayward,True,N/A,101412,Start,start,2021-02-12 06:23:00,,0,00:00:00,
2021,21hk4tuc,10,Will Hayward,True,N/A,101415,End Maclehose Trail,control,2021-02-12 22:19:19,15:56:19,57379,15:56:19,
2021,21hk4tuc,10,Will Hayward,True,N/A,101418,Start Wilson Trail,control,2021-02-12 23:09:30,00:50:11,3011,16:46:30,
2021,21hk4tuc,10,Will Hayward,True,N/A,101419,End Wilson Trail,control,2021-02-13 18:21:17,19:11:47,69107,35:58:17,
2021,21hk4tuc,10,Will Hayward,True,N/A,101421,Start HK Trail,control,2021-02-13 19:06:27,00:45:10,2710,36:43:27,
2021,21hk4tuc,10,Will Hayward,True,N/A,101422,End HK Trail,control,2021-02-14 06:17:21,11:10:54,40254,47:54:21,
2021,21hk4tuc,10,Will Hayward,True,N/A,101424,Start Lantau Trail,control,2021-02-14 08:30:50,02:13:29,8009,50:07:50,
2021,21hk4tuc,10,Will Hayward,True,N/A,101425,Finish,finish,2021-02-15 01:22:44,16:51:54,60714,66:59:44,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101412,Start,start,2021-02-12 06:13:00,,0,00:00:00,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101415,End Maclehose Trail,control,2021-02-13 00:00:30,17:47:30,64050,17:47:30,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101418,Start Wilson Trail,control,2021-02-13 01:07:14,01:06:44,4004,18:54:14,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101419,End Wilson Trail,control,2021-02-13 11:45:00,10:37:46,38266,29:32:00,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101421,Start HK Trail,control,2021-02-14 00:41:00,12:56:00,46560,42:28:00,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101422,End HK Trail,control,2021-02-14 09:40:00,08:59:00,32340,51:27:00,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101424,Start Lantau Trail,control,2021-02-14 10:28:37,00:48:37,2917,52:15:37,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101425,Finish,finish,2021-02-15 01:59:58,15:31:21,55881,67:46:58,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101412,Start,start,2021-02-12 06:16:00,,0,00:00:00,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101415,End Maclehose Trail,control,2021-02-12 22:59:02,16:43:02,60182,16:43:02,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101418,Start Wilson Trail,control,2021-02-12 23:53:50,00:54:48,3288,17:37:50,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101419,End Wilson Trail,control,2021-02-13 20:56:47,21:02:57,75777,38:40:47,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101421,Start HK Trail,control,2021-02-13 23:04:45,02:07:58,7678,40:48:45,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101422,End HK Trail,control,2021-02-14 09:03:00,09:58:15,35895,50:47:00,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101424,Start Lantau Trail,control,2021-02-14 10:51:04,01:48:04,6484,52:35:04,
2021,21hk4tuc,18,Virginie Goethals,True,N/A,101425,Finish,finish,2021-02-15 04:12:37,17:21:33,62493,69:56:37,
2021,21hk4tuc,2,Vic So,False,Retired,101412,Start,start,2021-02-12 06:58:00,,0,00:00:00,
2021,21hk4tuc,2,Vic So,False,Retired,101415,End Maclehose Trail,control,2021-02-12 22:27:32,15:29:32,55772,15:29:32,
2021,21hk4tuc,2,Vic So,False,Retired,101418,Start Wilson Trail,control,2021-02-12 23:07:43,00:40:11,2411,16:09:43,
2021,21hk4tuc,2,Vic So,False,Retired,101419,End Wilson Trail,control,2021-02-13 16:14:27,17:06:44,61604,33:16:27,
2021,21hk4tuc,2,Vic So,False,Retired,101421,Start HK Trail,control,2021-02-13 16:44:32,00:30:05,1805,33:46:32,
2021,21hk4tuc,2,Vic So,False,Retired,101422,End HK Trail,control,,,0,33:46:32,
2021,21hk4tuc,2,Vic So,False,Retired,101424,Start Lantau Trail,control,,,0,33:46:32,
2021,21hk4tuc,2,Vic So,False,Retired,101425,Finish,finish,,,0,33:46:32,
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101412,Start,start,2021-02-12 06:05:00,,0,00:00:00,
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101415,End Maclehose Trail,control,,,0,00:00:00,
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101418,Start Wilson Trail,control,2021-02-12 20:45:44,14:40:44,52844,14:40:44,
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101419,End Wilson Trail,control,,,0,14:40:44,
